"Step","llm_v4_direct_select_pos_1 - total_spl","llm_v4_direct_select_pos_1 - total_spl__MIN","llm_v4_direct_select_pos_1 - total_spl__MAX","llm_v3_pos_neg_dst - total_spl","llm_v3_pos_neg_dst - total_spl__MIN","llm_v3_pos_neg_dst - total_spl__MAX","fbe_baseline - total_spl","fbe_baseline - total_spl__MIN","fbe_baseline - total_spl__MAX","llm_v2_pos_cot - total_spl","llm_v2_pos_cot - total_spl__MIN","llm_v2_pos_cot - total_spl__MAX","l3mvn_baseline_local_step_15 - total_spl","l3mvn_baseline_local_step_15 - total_spl__MIN","l3mvn_baseline_local_step_15 - total_spl__MAX","llm_v1_no_cot_local_step_15 - total_spl","llm_v1_no_cot_local_step_15 - total_spl__MIN","llm_v1_no_cot_local_step_15 - total_spl__MAX","sem_exp_baseline - total_spl","sem_exp_baseline - total_spl__MIN","sem_exp_baseline - total_spl__MAX"
"0","NaN","","","NaN","","","NaN","","","NaN","","","NaN","","","NaN","","","NaN","",""
"10","NaN","","","NaN","","","NaN","","","NaN","","","NaN","","","NaN","","","NaN","",""
"20","NaN","","","NaN","","","NaN","","","NaN","","","NaN","","","NaN","","","NaN","",""
"30","NaN","","","NaN","","","NaN","","","NaN","","","NaN","","","NaN","","","0","0","0"
"40","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"50","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"60","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"70","0","0","0","0","0","0","0","0","0","0","0","0","0.32908689611384523","0.32908689611384523","0.32908689611384523","0","0","0","0.2757624596883958","0.2757624596883958","0.2757624596883958"
"80","0.2323479482852072","0.2323479482852072","0.2323479482852072","0","0","0","0.3241377568525988","0.3241377568525988","0.3241377568525988","0.3241377568525988","0.3241377568525988","0.3241377568525988","0.451739212361104","0.451739212361104","0.451739212361104","0","0","0","0.2757624596883958","0.2757624596883958","0.2757624596883958"
"90","0.2323479482852072","0.2323479482852072","0.2323479482852072","0","0","0","0.21609183790173256","0.21609183790173256","0.21609183790173256","0.3241377568525988","0.3241377568525988","0.3241377568525988","0.338804409270828","0.338804409270828","0.338804409270828","0","0","0","0.2757624596883958","0.2757624596883958","0.2757624596883958"
"100","0.2323479482852072","0.2323479482852072","0.2323479482852072","0","0","0","0.21609183790173256","0.21609183790173256","0.21609183790173256","0.21609183790173256","0.21609183790173256","0.21609183790173256","0.338804409270828","0.338804409270828","0.338804409270828","0.17827582584191096","0.17827582584191096","0.17827582584191096","0.2757624596883958","0.2757624596883958","0.2757624596883958"
