"Step","llm_v4_direct_select_pos_1 - total_dist","llm_v4_direct_select_pos_1 - total_dist__MIN","llm_v4_direct_select_pos_1 - total_dist__MAX","llm_v3_pos_neg_dst - total_dist","llm_v3_pos_neg_dst - total_dist__MIN","llm_v3_pos_neg_dst - total_dist__MAX","fbe_baseline - total_dist","fbe_baseline - total_dist__MIN","fbe_baseline - total_dist__MAX","llm_v2_pos_cot - total_dist","llm_v2_pos_cot - total_dist__MIN","llm_v2_pos_cot - total_dist__MAX","l3mvn_baseline_local_step_15 - total_dist","l3mvn_baseline_local_step_15 - total_dist__MIN","l3mvn_baseline_local_step_15 - total_dist__MAX","llm_v1_no_cot_local_step_15 - total_dist","llm_v1_no_cot_local_step_15 - total_dist__MIN","llm_v1_no_cot_local_step_15 - total_dist__MAX","sem_exp_baseline - total_dist","sem_exp_baseline - total_dist__MIN","sem_exp_baseline - total_dist__MAX"
"0","NaN","","","NaN","","","NaN","","","NaN","","","NaN","","","NaN","","","NaN","",""
"10","NaN","","","NaN","","","NaN","","","NaN","","","NaN","","","NaN","","","NaN","",""
"20","NaN","","","NaN","","","NaN","","","NaN","","","NaN","","","NaN","","","NaN","",""
"30","NaN","","","NaN","","","NaN","","","NaN","","","NaN","","","NaN","","","0.10142330825328827","0.10142330825328827","0.10142330825328827"
"40","0.111246258020401","0.111246258020401","0.111246258020401","0.111246258020401","0.111246258020401","0.111246258020401","0.111246258020401","0.111246258020401","0.111246258020401","0.111246258020401","0.111246258020401","0.111246258020401","0.10834617167711258","0.10834617167711258","0.10834617167711258","0.111246258020401","0.111246258020401","0.111246258020401","0.10142330825328827","0.10142330825328827","0.10142330825328827"
"50","0.111246258020401","0.111246258020401","0.111246258020401","0.111246258020401","0.111246258020401","0.111246258020401","0.111246258020401","0.111246258020401","0.111246258020401","0.111246258020401","0.111246258020401","0.111246258020401","0.10834617167711258","0.10834617167711258","0.10834617167711258","0.111246258020401","0.111246258020401","0.111246258020401","0.1306738406419754","0.1306738406419754","0.1306738406419754"
"60","0.111246258020401","0.111246258020401","0.111246258020401","0.111246258020401","0.111246258020401","0.111246258020401","0.111246258020401","0.111246258020401","0.111246258020401","0.111246258020401","0.111246258020401","0.111246258020401","0.10834617167711258","0.10834617167711258","0.10834617167711258","0.111246258020401","0.111246258020401","0.111246258020401","0.1306738406419754","0.1306738406419754","0.1306738406419754"
"70","0.111246258020401","0.111246258020401","0.111246258020401","0.111246258020401","0.111246258020401","0.111246258020401","0.111246258020401","0.111246258020401","0.111246258020401","0.111246258020401","0.111246258020401","0.111246258020401","0.06750471610575914","0.06750471610575914","0.06750471610575914","0.111246258020401","0.111246258020401","0.111246258020401","0.10442055389285088","0.10442055389285088","0.10442055389285088"
"80","0.09386931359767914","0.09386931359767914","0.09386931359767914","0.111246258020401","0.111246258020401","0.111246258020401","0.10149579122662544","0.10149579122662544","0.10149579122662544","0.10149579122662544","0.10149579122662544","0.10149579122662544","0.06690099649131298","0.06690099649131298","0.06690099649131298","0.111246258020401","0.111246258020401","0.111246258020401","0.10442055389285088","0.10442055389285088","0.10442055389285088"
"90","0.09386931359767914","0.09386931359767914","0.09386931359767914","0.1355561912059784","0.1355561912059784","0.1355561912059784","0.12095256894826889","0.12095256894826889","0.12095256894826889","0.10149579122662544","0.10149579122662544","0.10149579122662544","0.714977762196213","0.714977762196213","0.714977762196213","0.111246258020401","0.111246258020401","0.111246258020401","0.10442055389285088","0.10442055389285088","0.10442055389285088"
