"Step","llm_v4_direct_select_pos_1 - total_success","llm_v4_direct_select_pos_1 - total_success__MIN","llm_v4_direct_select_pos_1 - total_success__MAX","llm_v3_pos_neg_dst - total_success","llm_v3_pos_neg_dst - total_success__MIN","llm_v3_pos_neg_dst - total_success__MAX","fbe_baseline - total_success","fbe_baseline - total_success__MIN","fbe_baseline - total_success__MAX","llm_v2_pos_cot - total_success","llm_v2_pos_cot - total_success__MIN","llm_v2_pos_cot - total_success__MAX","l3mvn_baseline_local_step_15 - total_success","l3mvn_baseline_local_step_15 - total_success__MIN","l3mvn_baseline_local_step_15 - total_success__MAX","llm_v1_no_cot_local_step_15 - total_success","llm_v1_no_cot_local_step_15 - total_success__MIN","llm_v1_no_cot_local_step_15 - total_success__MAX","sem_exp_baseline - total_success","sem_exp_baseline - total_success__MIN","sem_exp_baseline - total_success__MAX"
"250","0.45454545454545453","0.45454545454545453","0.45454545454545453","0.5","0.5","0.5","0.6666666666666666","0.6666666666666666","0.6666666666666666","0.5","0.5","0.5","0.5833333333333334","0.5833333333333334","0.5833333333333334","0.4444444444444444","0.4444444444444444","0.4444444444444444","0.3333333333333333","0.3333333333333333","0.3333333333333333"
"260","0.45454545454545453","0.45454545454545453","0.45454545454545453","0.5714285714285714","0.5714285714285714","0.5714285714285714","0.6666666666666666","0.6666666666666666","0.6666666666666666","0.5","0.5","0.5","0.5384615384615384","0.5384615384615384","0.5384615384615384","0.4444444444444444","0.4444444444444444","0.4444444444444444","0.3333333333333333","0.3333333333333333","0.3333333333333333"
"270","0.45454545454545453","0.45454545454545453","0.45454545454545453","0.5","0.5","0.5","0.6","0.6","0.6","0.4444444444444444","0.4444444444444444","0.4444444444444444","0.5384615384615384","0.5384615384615384","0.5384615384615384","0.4444444444444444","0.4444444444444444","0.4444444444444444","0.3333333333333333","0.3333333333333333","0.3333333333333333"
"280","0.45454545454545453","0.45454545454545453","0.45454545454545453","0.5","0.5","0.5","0.6","0.6","0.6","0.4444444444444444","0.4444444444444444","0.4444444444444444","0.5384615384615384","0.5384615384615384","0.5384615384615384","0.4444444444444444","0.4444444444444444","0.4444444444444444","0.3333333333333333","0.3333333333333333","0.3333333333333333"
"290","0.45454545454545453","0.45454545454545453","0.45454545454545453","0.5555555555555556","0.5555555555555556","0.5555555555555556","0.6","0.6","0.6","0.4444444444444444","0.4444444444444444","0.4444444444444444","0.5","0.5","0.5","0.4444444444444444","0.4444444444444444","0.4444444444444444","0.3333333333333333","0.3333333333333333","0.3333333333333333"
"300","0.38461538461538464","0.38461538461538464","0.38461538461538464","0.5555555555555556","0.5555555555555556","0.5555555555555556","0.5454545454545454","0.5454545454545454","0.5454545454545454","0.4444444444444444","0.4444444444444444","0.4444444444444444","0.5","0.5","0.5","0.4444444444444444","0.4444444444444444","0.4444444444444444","0.42857142857142855","0.42857142857142855","0.42857142857142855"
"310","0.38461538461538464","0.38461538461538464","0.38461538461538464","0.5","0.5","0.5","0.5454545454545454","0.5454545454545454","0.5454545454545454","0.4","0.4","0.4","0.5","0.5","0.5","0.4","0.4","0.4","0.42857142857142855","0.42857142857142855","0.42857142857142855"
"320","0.38461538461538464","0.38461538461538464","0.38461538461538464","0.5","0.5","0.5","0.5454545454545454","0.5454545454545454","0.5454545454545454","0.4","0.4","0.4","0.5","0.5","0.5","0.4","0.4","0.4","0.42857142857142855","0.42857142857142855","0.42857142857142855"
"330","0.3333333333333333","0.3333333333333333","0.3333333333333333","0.5454545454545454","0.5454545454545454","0.5454545454545454","0.5454545454545454","0.5454545454545454","0.5454545454545454","0.4","0.4","0.4","0.4666666666666667","0.4666666666666667","0.4666666666666667","0.4","0.4","0.4","0.42857142857142855","0.42857142857142855","0.42857142857142855"
"340","0.3333333333333333","0.3333333333333333","0.3333333333333333","0.5454545454545454","0.5454545454545454","0.5454545454545454","0.5","0.5","0.5","0.4","0.4","0.4","0.4375","0.4375","0.4375","0.4","0.4","0.4","0.5","0.5","0.5"
